Наименование,Источник,Дата создания во внешней системе,Дата закрытия,Округ,Адрес,unom,Дата и время завершения события во
Температура в квартире ниже нормативной,EDC,2022-11-01 18:51:24.000000,2022-11-01 19:24:13.200000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 19:24:13.200000
Засор мусоропровода,EDC,2022-11-01 19:18:39.000000,2022-11-01 21:09:12.833000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 21:09:12.833000
Температура в квартире ниже нормативной,EDC,2022-03-21 22:21:01.000000,2022-03-21 23:17:04.888000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
Отсутствие ГВС в доме,EDC,2022-11-01 21:10:35.000000,2022-11-01 23:09:57.087000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 23:09:57.087000
Температура в квартире ниже нормативной,EDC,2022-11-02 08:17:39.000000,2022-11-02 14:29:52.026000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-02 14:29:52.026000
Отсутствие освещения в местах общего пользования,EDC,2022-03-03 13:34:14.000000,2022-03-03 14:58:50.063000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
Температура в квартире ниже нормативной,EDC,2022-11-02 11:24:54.000000,2022-11-02 12:54:49.961000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-02 12:54:49.961000
Отсутствие ХВС в доме,EDC,2022-02-11 12:27:34.000000,2022-02-11 12:53:53.283000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-11 12:35:28.000000
Отсутствие ХВС в доме,EDC,2022-02-11 12:24:06.000000,2022-02-11 12:53:55.366000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-11 12:35:28.000000
Неочищенная кровля,EDC,2022-02-04 16:58:38.000000,2022-02-04 17:28:28.546000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,2022-02-04 17:21:19.000000
Температура в квартире ниже нормативной,EDC,2022-03-24 23:57:31.000000,2022-03-25 01:31:42.411000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
Температура в квартире ниже нормативной,EDC,2022-03-24 19:52:23.000000,2022-03-24 20:38:51.206000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
Температура в квартире ниже нормативной,EDC,2022-03-24 18:51:34.000000,2022-03-24 20:40:00.771000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
T1 > max,ASUPR,2022-03-10 08:53:07.000000,2022-03-10 06:22:43.520000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
Отсутствие освещения в местах общего пользования,EDC,2022-03-17 09:50:24.000000,2022-03-17 11:28:28.556000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
Повреждение системы электропроводки/щитового оборудования,EDC,2022-02-16 10:41:51.000000,2022-02-16 11:55:06.184000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-16 11:40:09.000000
